Class,Day,Course,Section,Type,Time
C-301,Friday,Calculus ,CS-E,Theory,08:30-09:50
C-301,Friday,Calculus ,CS-G,Theory,11:30-12:50
C-301,Friday,P  R  A  Y  E  R     B  R  E  A  K,P  R  A  Y  E  R     B  R  E  A  K,Theory,01:00-02:00
C-301,Friday,Func Eng ,CS-F,Theory,02:00-03:20
C-301,Friday,Research Methodology,Research Methodology,Theory,05:20-06:40 
C-302,Friday,Islamic ,CS-G,Theory,08:30-09:50
C-302,Friday,Calculus ,CS-F,Theory,11:30-12:50
C-302,Friday,Research Methodology,Research Methodology,Theory,05:20-06:40 
C-303,Friday,Islamic ,CS-E,Theory,10:00-11:20
C-303,Friday,Func Eng ,SE-B,Theory,02:00-03:20
C-303,Friday,Research Methodology,Research Methodology,Theory,05:20-06:40 
C-304,Friday,Ideol of Pak ,SE-C,Theory,08:30-09:50
C-304,Friday,Calculus ,SE-C,Theory,11:30-12:50
C-304,Friday,Ideol of Pak ,CY-A,Theory,02:00-03:20
C-304,Friday,Research Methodology,Research Methodology,Theory,05:20-06:40 
C-305,Friday,Calculus ,SE-A,Theory,08:30-09:50
C-305,Friday,Calculus ,SE-B,Theory,11:30-12:50
C-305,Friday,OOP ,"CS-B, 23",Theory,02:00-03:20
C-305,Friday,Research Methodology,Research Methodology,Theory,05:20-06:40 
C-307,Friday,Calculus ,DS-B,Theory,08:30-09:50
C-307,Friday,Ideol of Pak ,SE-A,Theory,10:00-11:20
C-307,Friday,PPIT ,CS-D,Theory,02:00-03:20
C-307,Friday,Info Sec ,CS-D,Theory,03:30-04:50
C-308,Friday,Ideol of Pak ,DS-A,Theory,08:30-09:50
C-308,Friday,Calculus ,DS-A,Theory,11:30-12:50
C-308,Friday,Info Sec ,CS-E,Theory,02:00-03:20
C-308,Friday,PPIT ,CS-E,Theory,03:30-04:50
C-309,Friday,AP ,CY-A,Theory,08:30-09:50
C-309,Friday,PF ,CY-A,Theory,10:00-11:20
C-309,Friday,OOP ,"AI/DS-A, 23",Theory,11:30-12:50
C-310,Friday,PF ,CY-B,Theory,08:30-09:50
C-310,Friday,AP ,CY-B,Theory,10:00-11:20
C-310,Friday,PDC ,"A, 21",Theory,11:30-12:50
C-310,Friday,Info Sec ,CS-Z,Theory,02:00-03:20
C-310,Friday,PPIT ,CS-Z,Theory,03:30-04:50
C-311,Friday,Prob & Stats ,AI-B,Theory,08:30-09:50
C-311,Friday,PDC ,"B, 21",Theory,10:00-11:20
C-311,Friday,Prob & Stats ,AI-A,Theory,11:30-12:50
C-401,Friday,COAL ,CY-A,Theory,08:30-09:50
C-401,Friday,Critical Thinking ,CY-A,Theory,10:00-11:20
C-401,Friday,Critical Thinking ,CY-B,Theory,02:00-03:20
C-402,Friday,OOP ,"SE, 23",Theory,08:30-09:50
C-402,Friday,COAL ,CY-B,Theory,11:30-12:50
C-403,Friday,NLP ,A,Theory,10:00-11:20
C-403,Friday,NLP ,B,Theory,11:30-12:50
C-404,Friday,Cloud Comp ,A,Theory,10:00-11:20
C-404,Friday,Cloud Comp ,B,Theory,11:30-12:50
C-405,Friday,Web Prog,Web Prog,Theory,11:30-12:50
C-406,Friday,OOP ,"CS-A, 23",Theory,11:30-12:50
C-407,Friday,FYP/MS Thesis,FYP/MS Thesis,Theory,08:30-09:50
C-407,Friday,FYP/MS Thesis,FYP/MS Thesis,Theory,10:00-11:20
C-407,Friday,FYP/MS Thesis,FYP/MS Thesis,Theory,11:30-12:50
C-407,Friday,FYP/MS Thesis,FYP/MS Thesis,Theory,02:00-03:20
C-407,Friday,FYP/MS Thesis,FYP/MS Thesis,Theory,03:30-04:50
C-408,Friday,FYP/MS Thesis,FYP/MS Thesis,Theory,08:30-09:50
