Class,Day,Course,Section,Type,Time
C-301,Wednesday,PF ,CS-A,Theory,08:30-09:50
C-301,Wednesday,AP ,CS-A,Theory,10:00-11:20
C-301,Wednesday,PF ,CS-C,Theory,11:30-12:50
C-301,Wednesday,Cloud Comp ,SE,Theory,01:00-02:20
C-301,Wednesday,PPIT ,CS-A,Theory,02:30-03:50
C-301,Wednesday,Info Sec ,CS-A,Theory,03:55-05:15
C-301,Wednesday,Applied Prog ,CS,Theory,05:20-06:40 
C-301,Wednesday,Applied Prog ,SE,Theory,06:45-08:05
C-302,Wednesday,AP ,CS-B,Theory,08:30-09:50
C-302,Wednesday,PF ,CS-B,Theory,10:00-11:20
C-302,Wednesday,PF ,CS-D,Theory,11:30-12:50
C-302,Wednesday,AP ,CS-D,Theory,01:00-02:20
C-302,Wednesday,Info Sec ,CS-B,Theory,02:30-03:50
C-302,Wednesday,PPIT ,CS-B,Theory,03:55-05:15
C-302,Wednesday,Applied Prog ,CY,Theory,05:20-06:40 
C-302,Wednesday,Applied Prog ,DS,Theory,06:45-08:05
C-303,Wednesday,Islamic ,CS-F,Theory,08:30-09:50
C-303,Wednesday,AP ,AI-C,Theory,11:30-12:50
C-303,Wednesday,PF ,AI-C,Theory,01:00-02:20
C-303,Wednesday,PPIT ,CS-C,Theory,02:30-03:50
C-303,Wednesday,Info Sec ,CS-C,Theory,03:55-05:15
C-303,Wednesday,Applied Prog ,AI,Theory,05:20-06:40 
C-304,Wednesday,COAL ,CS-A,Theory,08:30-09:50
C-304,Wednesday,Calculus ,CS-E,Theory,10:00-11:20
C-304,Wednesday,Calculus ,CS-G,Theory,11:30-12:50
C-304,Wednesday,Calculus ,CS-F,Theory,01:00-02:20
C-304,Wednesday,Info Sec ,CS-Y,Theory,02:30-03:50
C-304,Wednesday,PPIT ,CS-Y,Theory,03:55-05:15
C-304,Wednesday,DS Tools & Tech ,DS,Theory,05:20-06:40 
C-304,Wednesday,Ethical Hack,Ethical Hack,Theory,06:45-08:05
C-305,Wednesday,PF ,AI-A,Theory,08:30-09:50
C-305,Wednesday,AP ,AI-A,Theory,10:00-11:20
C-305,Wednesday,Prob & Stats ,AI-B,Theory,11:30-12:50
C-305,Wednesday,Prob & Stats ,AI-A,Theory,01:00-02:20
C-305,Wednesday,Info Sec ,CS-Z,Theory,02:30-03:50
C-305,Wednesday,PPIT ,CS-Z,Theory,03:55-05:15
C-305,Wednesday,Empirical S/w Engg,Empirical S/w Engg,Theory,05:20-06:40 
C-305,Wednesday,Deep Learn,Deep Learn,Theory,06:45-08:05
C-307,Wednesday,AP ,AI-B,Theory,08:30-09:50
C-307,Wednesday,PF ,AI-B,Theory,10:00-11:20
C-307,Wednesday,Func Eng ,CS-E,Theory,11:30-12:50
C-307,Wednesday,Func Eng ,CS-G,Theory,01:00-02:20
C-307,Wednesday,App Image Proc,App Image Proc,Theory,05:20-06:40 
C-307,Wednesday,Resp Design,Resp Design,Theory,06:45-08:05
C-308,Wednesday,PF ,CY-B,Theory,08:30-09:50
C-308,Wednesday,AP ,CY-B,Theory,10:00-11:20
C-308,Wednesday,PF ,CY-A,Theory,11:30-12:50
C-308,Wednesday,AP ,CY-A,Theory,01:00-02:20
C-308,Wednesday,Comp Net ,DS-M,Theory,02:30-03:50
C-308,Wednesday,Info Sec ,DS-M,Theory,03:55-05:15
C-308,Wednesday,Cloud Sec,Cloud Sec,Theory,05:20-06:40 
