Class,Day,Course,Section,Type,Time
C-301,Monday,PF ,CS-A,Theory,08:30-09:50
C-301,Monday,AP ,CS-A,Theory,10:00-11:20
C-301,Monday,PF ,CS-C,Theory,11:30-12:50
C-301,Monday,Cloud Comp ,SE,Theory,01:00-02:20
C-301,Monday,PPIT ,CS-A,Theory,02:30-03:50
C-301,Monday,Info Sec ,CS-A,Theory,03:55-05:15
C-301,Monday,Applied Prog ,CS,Theory,05:20-06:40 
C-301,Monday,Applied Prog ,SE,Theory,06:45-08:05
C-302,Monday,AP ,CS-B,Theory,08:30-09:50
C-302,Monday,PF ,CS-B,Theory,10:00-11:20
C-302,Monday,PF ,CS-D,Theory,11:30-12:50
C-302,Monday,AP ,CS-D,Theory,01:00-02:20
C-302,Monday,Info Sec ,CS-B,Theory,02:30-03:50
C-302,Monday,PPIT ,CS-B,Theory,03:55-05:15
C-302,Monday,Applied Prog ,CY,Theory,05:20-06:40 
C-302,Monday,Applied Prog ,DS,Theory,06:45-08:05
C-303,Monday,PF ,AI-A,Theory,08:30-09:50
C-303,Monday,AP ,AI-A,Theory,10:00-11:20
C-303,Monday,AP ,AI-C,Theory,11:30-12:50
C-303,Monday,PF ,AI-C,Theory,01:00-02:20
C-303,Monday,PPIT ,CS-C,Theory,02:30-03:50
C-303,Monday,Info Sec ,CS-C,Theory,03:55-05:15
C-303,Monday,Applied Prog ,AI,Theory,05:20-06:40 
C-304,Monday,AP ,AI-B,Theory,08:30-09:50
C-304,Monday,PF ,AI-B,Theory,10:00-11:20
C-304,Monday,Func Eng ,SE-A,Theory,11:30-12:50
C-304,Monday,Info Sec ,CS-D,Theory,02:30-03:50
C-304,Monday,PPIT ,CS-D,Theory,03:55-05:15
C-304,Monday,DS Tools & Tech ,DS,Theory,05:20-06:40 
C-304,Monday,Ethical Hack,Ethical Hack,Theory,06:45-08:05
C-305,Monday,Ethical Hacking,Ethical Hacking,Theory,08:30-09:50
C-305,Monday,Calculus ,DS-A,Theory,10:00-11:20
C-305,Monday,Func Eng ,DS-A,Theory,11:30-12:50
C-305,Monday,PPIT ,CS-E,Theory,02:30-03:50
C-305,Monday,Info Sec ,CS-E,Theory,03:55-05:15
C-305,Monday,Empirical S/w Engg,Empirical S/w Engg,Theory,05:20-06:40 
C-305,Monday,Deep Learn,Deep Learn,Theory,06:45-08:05
C-307,Monday,Calculus ,DS-B,Theory,08:30-09:50
C-307,Monday,Ideol of Pak ,DS-B,Theory,10:00-11:20
C-307,Monday,Web Prog,Web Prog,Theory,01:00-02:20
C-307,Monday,Info Sec ,CS-Y,Theory,02:30-03:50
